label,epoch,node,alloc_m,requested_m,used_m,free_m,pods
periodic_fix200m,1784285322.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1455,1204,14545,9
periodic_fix200m,1784285324.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,1245,15085,10
periodic_fix200m,1784285324.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,790,666,15210,11
periodic_fix200m,1784285324.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1455,1204,14545,9
periodic_fix200m,1784285326.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,1245,15085,10
periodic_fix200m,1784285326.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,790,666,15210,11
periodic_fix200m,1784285326.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1455,1204,14545,9
periodic_fix200m,1784285328.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,1245,15085,10
periodic_fix200m,1784285328.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,790,666,15210,11
periodic_fix200m,1784285328.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1455,1204,14545,9
periodic_fix200m,1784285330.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,709,15085,10
periodic_fix200m,1784285330.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,790,585,15210,11
periodic_fix200m,1784285330.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1455,868,14545,9
periodic_fix200m,1784285332.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,709,15085,10
periodic_fix200m,1784285332.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,790,585,15210,11
periodic_fix200m,1784285332.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1455,868,14545,9
periodic_fix200m,1784285334.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,709,15085,10
periodic_fix200m,1784285334.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,790,585,15210,11
periodic_fix200m,1784285334.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1455,868,14545,9
periodic_fix200m,1784285336.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,709,15085,10
periodic_fix200m,1784285336.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,790,585,15210,11
periodic_fix200m,1784285336.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1455,868,14545,9
periodic_fix200m,1784285338.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,709,15085,10
periodic_fix200m,1784285338.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1015,585,14985,12
periodic_fix200m,1784285338.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1455,868,14545,9
periodic_fix200m,1784285340.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,709,15085,10
periodic_fix200m,1784285340.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1015,585,14985,12
periodic_fix200m,1784285340.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-x67l2,16000,1455,868,14545,9
periodic_fix200m,1784285342.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-6fl7s,16000,915,709,15085,10
periodic_fix200m,1784285342.274,anhnt550-k8s-knative-em4nvn2znek4-default-worker-6stg6-7r2pm,16000,1015,585,14985,12
